Date;Open;High;Low;Close;Volume
12.03.24;19,35;19,86;19,25;19,60;565034
13.03.24;19,60;20,11;19,33;19,83;585369
14.03.24;19,94;20,11;18,76;19,17;895154
15.03.24;19,11;19,25;18,83;18,97;2461966
18.03.24;19,16;19,63;18,99;18,99;439147
19.03.24;18,90;19,06;18,57;18,87;444514
20.03.24;18,75;19,03;18,47;18,94;297139
21.03.24;19,13;19,46;18,87;19,01;432008
22.03.24;18,96;19,26;18,83;19,06;339955
25.03.24;19,04;19,08;18,66;19,00;359886
26.03.24;19,08;19,56;18,89;19,55;450037
27.03.24;19,57;19,89;19,41;19,51;318861
28.03.24;19,54;19,77;19,30;19,50;430872
02.04.24;19,49;19,85;19,35;19,77;418222
03.04.24;19,67;19,84;19,46;19,78;222341
04.04.24;19,82;19,98;19,52;19,86;357334
05.04.24;19,55;19,82;19,12;19,82;496791
08.04.24;19,84;20,70;19,83;20,70;863889
09.04.24;20,70;21,28;20,53;21,05;436129
10.04.24;20,97;21,13;20,60;20,88;366901
11.04.24;20,86;21,25;20,55;20,58;497630
12.04.24;20,77;21,33;20,49;20,49;373016
15.04.24;20,42;20,65;20,33;20,39;288139
16.04.24;20,28;20,39;19,52;20,27;321456
17.04.24;20,21;21,33;20,17;21,17;396429
18.04.24;21,17;21,49;21,02;21,11;424498
19.04.24;20,93;21,36;20,82;21,06;418651
22.04.24;21,18;21,96;21,18;21,73;404443
23.04.24;21,85;22,03;21,69;21,80;335725
24.04.24;21,85;21,90;21,59;21,68;377265
25.04.24;21,61;21,85;21,35;21,72;316688
26.04.24;21,75;22,00;21,51;21,82;443229
29.04.24;21,90;22,23;21,65;22,12;411472
30.04.24;22,11;22,37;22,00;22,17;562857
02.05.24;22,10;22,45;22,06;22,21;371493
03.05.24;22,31;22,57;21,90;21,97;260599
06.05.24;22,08;22,22;21,54;21,64;195751
07.05.24;22,67;23,20;22,36;22,45;546509
08.05.24;22,23;22,71;22,22;22,31;254589
09.05.24;22,32;22,45;22,10;22,23;168499
10.05.24;22,37;22,57;22,20;22,30;255888
13.05.24;22,43;22,49;22,07;22,40;263817
14.05.24;22,66;23,27;22,53;23,16;439138
15.05.24;23,04;23,70;23,00;23,33;374510
16.05.24;21,20;21,46;19,66;20,19;3162989
17.05.24;20,19;21,29;20,05;21,29;1167073
20.05.24;21,95;22,26;21,67;22,25;755878
21.05.24;22,27;22,50;21,17;21,62;696404
22.05.24;21,50;21,86;21,22;21,66;455534
23.05.24;21,86;21,86;20,96;21,02;422401
24.05.24;20,86;22,04;20,79;21,92;466555
27.05.24;21,92;22,46;21,76;22,01;205954
28.05.24;22,01;22,09;21,50;21,79;244695
29.05.24;21,76;22,01;21,41;21,41;356639
30.05.24;21,27;22,34;21,17;22,14;344542
31.05.24;22,11;22,62;21,94;22,42;466797
03.06.24;22,86;23,33;22,64;22,97;424499
04.06.24;22,90;23,16;22,73;22,81;303674
05.06.24;22,97;23,49;22,97;23,19;384549
06.06.24;23,19;23,36;22,55;23,05;287681
07.06.24;23,11;23,45;23,09;23,28;419583
10.06.24;23,03;23,38;22,70;23,13;313369
11.06.24;23,16;23,20;22,13;22,21;466449
12.06.24;22,14;22,44;21,80;21,99;300110
13.06.24;21,92;22,14;21,63;21,82;283148
14.06.24;21,60;21,73;20,87;21,38;702154
17.06.24;21,31;21,40;20,58;21,11;432338
18.06.24;21,27;21,41;20,76;21,35;594349
19.06.24;21,36;21,66;21,22;21,57;322859
20.06.24;21,32;21,78;21,11;21,22;336744
21.06.24;21,10;21,35;20,16;20,22;1052917
24.06.24;20,22;21,32;20,18;21,10;450261
25.06.24;21,06;21,24;20,81;20,81;263225
26.06.24;20,81;21,07;20,40;20,77;309832
27.06.24;20,57;20,81;20,39;20,44;209226
28.06.24;20,43;20,68;20,32;20,44;272278
01.07.24;21,00;21,24;20,47;20,47;335884
02.07.24;20,20;20,40;19,54;19,58;538006
03.07.24;19,66;20,14;19,25;19,47;410828
